ID,brand,name_cn,name_fr,year,score,top_note,middle_note,base_note,note
331972,香奈儿,5号淡香水,Chanel N°5 Eau de Toilette,1924,8.3,醛 依兰 橙花油 柠檬 香柠檬,鸢尾花 茉莉 玫瑰 鸢尾根 铃兰,麝猫香 檀香木 麝香 橡木苔 香根草 琥珀 香草 广藿香,
328164,香奈儿,邂逅柔情（粉邂逅）淡香水,Chanel Chance Eau Tendre,2010,7.9,木梨 葡萄柚,风信子 茉莉,麝香 鸢尾花 雪松 琥珀,
587917,香奈儿,可可女士,Chanel Coco Eau de Parfum,1984,8.6,玫瑰 芫荽 桃子 茉莉 橘子,公丁香 玫瑰 橙花 含羞草 三叶草,琥珀 檀香木 零陵香豆 麝猫香 红没药 香草 劳丹脂,
793115,香奈儿,之水系列,巴黎-爱丁堡 Chanel Paris – Édimbourg,2021,8.2,柠檬 香柠檬,杜松子 柏树,雪松 香根草,
774306,香奈儿,之水系列,巴黎-杜维埃 Chanel Paris – Deauville,2018,8.1,罗勒 青柠 橙子 香柠檬 苦橙叶 柠檬,绿叶 希蒂莺 茉莉 玫瑰,广藿香,
167347,香奈儿,蔚蓝淡香精,Chanel Bleu de Chanel Eau de Parfum,2014,7.9,葡萄柚 柠檬 薄荷 粉红胡椒 香柠檬 醛 芫荽,生姜 肉豆蔻 茉莉 香瓜,焚香 琥珀 雪松 檀香木 广藿香 琥珀木 劳丹脂,
595834,香奈儿,嘉柏丽尔,Chanel Gabrielle,2017,7.8,葡萄柚 橘子 黑加仑,橙花 茉莉 依兰 晚香玉 铃兰 梨 粉红胡椒,麝香 檀香木 开司米酮 鸢尾根,
557383,香奈儿,可可小姐黑色,Chanel Coco Noir,2012,8.2,葡萄柚 香柠檬 橙子,玫瑰 天竺葵 茉莉 水仙花 桃子,广藿香 檀香木 乳香 零陵香豆 香草 麝香 公丁香 安息香脂,
589834,香奈儿,珍藏系列-康朋街31号,Chanel Les Exclusifs de Chanel 31 Rue Cambon,2007,8.6,香柠檬 胡椒 绿叶,鸢尾花 依兰 玫瑰,广藿香 劳丹脂,
176433,香奈儿,蔚蓝淡香水,Chanel Bleu de Chanel Eau de Toilette,2010,7.6,葡萄柚 柠檬 薄荷 粉红胡椒,生姜 肉豆蔻 茉莉 龙涎酮,焚香 香根草 雪松 檀香木 广藿香 劳丹脂 麝香,
567250,香奈儿,珍藏系列-清新古龙水,Chanel Les Exclusifs de Chanel Eau de Cologne,2007,8.9,柠檬 香柠檬 柑橘 绿叶,橙花油 苦橙叶 辛香料,麝香 零陵香豆,
825753,香奈儿,珍藏系列-东方屏风淡香精,Chanel Coromandel Eau de Parfum,2016,8.6,苦橙 柑橘 橙花油,广藿香 鸢尾根 玫瑰 茉莉,安息香脂 白巧克力 琥珀 乳香 焚香 木质 麝香,
468431,香奈儿,之水系列,巴黎-比亚利兹 Chanel Paris – Biarritz,2018,8.1,蜜橘 香柠檬 橙子 柠檬 葡萄柚,橙花油 绿叶 铃兰,麝香 广藿香,
606270,香奈儿,19号香精版,Chanel N°19 Parfum,1970,9.5,白松香 橙花油,鸢尾根 玫瑰 水仙花 茉莉 希蒂莺 依兰,橡木苔 香根草 雪松 麝香,
440460,香奈儿,邂逅（黄邂逅）淡香水,Chanel Chance Eau de Toilette,2002,7.6,广藿香 粉红胡椒 菠萝 风信子 鸢尾花,柠檬 茉莉 玫瑰,广藿香 麝香 香根草 香草,
