name,original_price,special_price,specification,description,fragrance,top_notes,middle_notes,base_notes,detail_url
DIOR HOMME 男性淡香水(2020),"3,300","2,650",50ml,個人認為迪奧男香中最頂的一罐香水，要跟曠野之心比騷也沒在輸的，若說是玩咖渣男香，曠野可能更偏向在聚光燈下吸引獵物來「被捕獲」，而這罐就比較偏向主動捕獲獵物，香氣的傳播不像曠野那麼強烈、那麼香甜，甜與辛恰到好處的比例，是舒服的男人香,木質調,柑橘、粉紅胡椒、欖香脂,廣藿香、大西洋雪松、羊絨木,白麝香、海地岩蘭草,https://www.1976.com.tw/prod/17797
Dunhill Valensole Lavender 頂級香氛 瓦朗索爾薰衣草男性淡香精,"5,500","2,121",100ml,瓶身設計及外包裝都非常有質感，味道也意外地非常舒服，頂級香氛果然不凡!,草香清新調 、 木質調 、 辛辣調,檸檬、藏紅花、肉荳蔻,薰衣草、鼠尾草、荳蔻,香根草、琥珀木、癒創木,https://www.1976.com.tw/prod/19565
Versace The Dreamer 追夢人男性淡香水,"3,200","1,450",100ml,看似華麗的瓶身，但其實是滿皂感的一支香水，不像香調列表上寫的花種，我反而覺得有點像薰衣草那個方向的氣味，本應是後味的煙草，我卻是在前味時感覺最明顥，整體到後味會呈現一個爽身粉的味道,,杜松、艾草、龍蒿,亞麻花、百合、鳶尾花,煙草花、琥珀,https://www.1976.com.tw/prod/18765
Burberry Weekend 週末男性淡香水TESTER,"3,850","1,080",100ml 原廠環保紙盒包裝，無瓶蓋,適合週末假期愉悅心情的氣息， BURBERRY暢銷多年的入門經典香水！,花果清新調,,,,https://www.1976.com.tw/prod/3231
Kenzo 風之戀男性淡香水 TESTER,"3,520","1,080",100ml 原廠環保紙盒包裝，無瓶蓋,前味是衣領精的清新撲鼻味，像走進晾在太陽底下的白色薄紗中，檸檬舒爽的味道，好像在希臘，非常有夏天的感覺。中味開始轉為微甜與水果味。後味是我個人很喜歡的麝香味，有種像是睡午覺的安穩感。,花果清新調,日本檸檬、芳樟樹葉,水生薄荷、睡蓮葉,綠胡椒、白麝香,https://www.1976.com.tw/prod/4779
Carolina Herrera 212 VIP Black 男性淡香精 TESTER,"3,500","2,250",100ml 原廠環保紙盒包裝，有瓶蓋,212 VIP Black 男性淡香精就像杯性感的調酒，混和琥珀與苦艾酒的香氛，並層遞出薰衣草與皮革的芬芳。,東方清新調 、 辛辣調,苦艾酒,薰衣草、皮革,琥珀、香草、麝香,https://www.1976.com.tw/prod/15780
Moschino Toy Boy 黑熊淡香精 TESTER,"3,350","1,299",100ml 原廠環保紙盒包裝，無瓶蓋,"這支很推，持香超級久，
尤其這支適合當基底跟白熊疊香，
先噴黑熊，過5分鐘再噴白熊，
誠心推薦有夠讚的！",木質花香調 、 辛辣調,佛手柑、粉紅莓果、欖香脂、肉荳蔻,青梨、丁香花苞、玫瑰、紫色亞麻花,喀什米爾麝香、木蘭花、海地香根草、琥珀、麝香,https://www.1976.com.tw/prod/18613
Montblanc Legend Spirit 萬寶龍傳奇白朗峰男性淡香水迷你瓶,500,270,4.5ml 抹式 (效期至2026.05),萬寶龍傳奇系列展現全新的風貌，全 新上市的傳奇白朗峰帶來了更多的可 能，承現出萬寶龍傳奇系列較為休閒、 輕鬆，卻不失男人味的經典優雅。,柑橘調,粉紅胡椒、佛手柑、葡萄柚,荳蔻、薰衣草,橡苔、白麝香、喀什米爾木,https://www.1976.com.tw/prod/13944
Dunhill British Leather 頂級香氛 英式皇家皮革男性淡香精,"5,500","2,480",100ml,瓶身設計及外包裝都非常有質感，味道也意外地非常舒服，頂級香氛果然不凡!,木質調 、 皮革香調 、 辛辣調,佛手柑、瓜地馬拉荳蔻、杜松、肉豆蔻、檸檬,馬黛茶、薰衣草、橙花、百香果、紫羅蘭葉,皮革、雪松、廣藿香、檀木、香根草,https://www.1976.com.tw/prod/19562
Giorgio Armani Acqua di Gio Profondo 深邃寄情水男性香精 Parfum,"3,500","2,799",50ml,寄情水PROFONDO 男性香精，捕捉了未知深海令人上癮且強烈的吸引力。這款香水傳遞出一種深邃的清新感，宛如潛入深海，探尋神秘莫測的海洋氣息,木質調 、 柑橘調 、 海洋清新調,海洋調、佛手柑,含羞草、紫羅蘭葉、薰衣草,岩蘭草、廣藿香、勞丹脂,https://www.1976.com.tw/prod/22027
Issey Miyake Cedre 三宅一生 一生之水雪松男性淡香水,"2,600","1,690",50ml,開頭會有一生之水男原版的基調，然後清新的雪松加入香根草融合。以原版男、木頭木頭、雪松三支來說，雪松這支其實最適合廣域年齡層的男性在各種場合使用。也不會過於強烈，是一種清新舒適且給人安全感的木質，擴散侵略都不高，持香約4-6小時。,木質調,小荳蔻、柏樹,雪松,香根草、廣藿香,https://www.1976.com.tw/prod/20027
Issey Miyake Cedre 三宅一生 一生之水雪松男性淡香水 TESTER,"3,600","1,650",100ml 原廠環保紙盒包裝，有瓶蓋,水與木的活力相生一生之水雪松男香，首次以真實且原始的木頭製成瓶蓋，讓每一瓶香水都是獨一無 二的存在。,木質調,小荳蔻、柏樹,雪松,香根草、廣藿香,https://www.1976.com.tw/prod/20141
Hermes H24 愛馬仕淡香精版本迷你瓶,800,460,5ml 抹式,剛噴灑在身上是清新涼爽的草香，過了一陣子融合了體溫變成柔和的木質香，個人認為持香時間偏長，早上出門到傍晚回家時仍能聞到若有似無的香氣。,木質清新調 、 柑苔調,快樂鼠尾草、玫瑰木、水仙、Sclarene芳香分子,,,https://www.1976.com.tw/prod/20984
Dunhill Egyptian Smoke 頂級香氛 埃及菸草男性淡香精,"5,500","2,500",100ml,Dunhill 頂級香氛 Egyptian Smoke 埃及菸草男性淡香精，將生薑和粉胡椒的活力前調與紅茶的明亮味道融為一體。格拉斯玫瑰和紙莎草的中調增強了香氣的異國風情，而廣藿香、勞丹脂和香草豆的基調則帶來了金色的溫暖。,茶香清新調 、 東方調 、 辛辣調,生薑、粉紅胡椒、紅茶,玫瑰、紙莎草,廣藿香、勞丹脂、香草豆,https://www.1976.com.tw/prod/21972
Prada Luna Rossa 卓越男性淡香水,"3,300","2,300",50ml,一開始的前味不像很多香水會很刺鼻是一股清新有質感的味道，到了中後味是一股優雅又乾淨的味道，個人覺得聞到味道的時候會有種心靈被洗滌的感覺很乾淨有質感又部會太沉重的感覺，很適合22左右有氣質的人，缺點是有點不持久。,草香清新調,苦橙、薰衣草,鼠尾草、綠薄荷、琥珀木質,琥珀、黃葵,https://www.1976.com.tw/prod/10223
YSL Y 男性淡香精版本,"3,700","2,590",60ml,"麥可靜靜地坐在老式皮質沙發上，房間充滿濃烈的煙草味，他手上拿著一瓶YSL香水，深吸一口氣。

開頭有著清新的蘋果和佛手柑，讓他想起在校園與朋友打鬧的日子。同時，它也有著深沉的杜松和琥珀，提醒他的家族與責任。

他始終保持著形象和品味，而這款YSL Y EDP正是他所需的一種味道，讓他在忙碌的生活中得以放鬆，回到自信優雅的年輕時光，他抬起手腕，再次嗅了嗅，仿佛能聞到遠去的歲月，和曾經的自己。",東方調 、 辛辣調,佛手柑、蘋果、生薑、欖香脂、白色醛香,杜松、鼠尾草、薰衣草、天竺葵,岩蘭草、乳香、東加香豆,https://www.1976.com.tw/prod/16744
John Varvatos Artisan Forest 工匠森林淡香精,"5,220","2,999",125ml,Artisan Forest 的香氣以無花果葉、白松香展開，散發清新充滿綠意的活力；隨香氣轉換，紫羅蘭葉帶出靜謐溫潤的氛圍，如同午後森林的微風，帶來放鬆與平衡。,木質清新調 、 柑苔調,無花果葉、迷迭香、白松香,紫羅蘭葉、無花果、艾草,香根草、廣藿香、雪松,https://www.1976.com.tw/prod/23118
YSL Y 聖羅蘭 Y 男性淡香精版本 TESTER,"4,600","2,950",100ml 原廠環保紙盒包裝，有瓶蓋,聖羅蘭先生在創立品牌後，所推出的第一瓶香水就是1964年誕生的「Y」，這瓶香水也是聖羅蘭先生的精神縮影。2018年YSL再度以這瓶香氛為靈感，推出全新「 Y 男性淡香精」，更找來魔力紅主唱亞當李維為它代言!,東方調 、 辛辣調,佛手柑、蘋果、生薑、欖香脂、白色醛香,杜松、鼠尾草、薰衣草、天竺葵,岩蘭草、乳香、東加香豆,https://www.1976.com.tw/prod/17591
HUGO BOSS 優客男性淡香水迷你瓶,390,300,5ml,我今天買了這瓶，我只有滴在手上聞一下，味道我很喜歡， 滿清爽的味道，用到身上應該不錯，蓋子跟大瓶的一樣造型，只差沒有帶子而已.,柑苔調,青蘋果、百里香、雪松葉、佛手柑、羅勒,丁香、鼠尾草、薰衣草、天竺葵,橡樹苔、檀香、香根草、雪松木,https://www.1976.com.tw/prod/2955
Burberry Touch 接觸男性淡香水,"3,850","1,380",100ml,瓶身設計相當有質感，非常清新的木質調香味，前中調的甜味和粉味讓整體不會太過沈悶，再用淡雅的木質香氣做收尾，是一支穿上能讓人感到非常溫暖的味道，秋冬穿的表現更佳，是非常適合木質調新手的起手香，暖男必備啊！,木質清新調,香橙、紫羅蘭,豆蔻、白胡椒,橡樹、檀木,https://www.1976.com.tw/prod/2518
Montblanc Legend Blue 萬寶龍傳奇紳藍男性淡香精,"2,100","1,080",30ml,融入了薄荷、 薰衣草的清新及檀香、雪松的溫潤。圓弧流線的瓶身設計，則是打造成經典萬寶龍名筆的握感。而瓶身表面呈襲獨有的六角白芒星標誌，呈現品牌簡單陽剛的象徵。,木質清新調 、 柑苔調,薰衣草、薄荷,檀香、雪松,龍涎香、苔蘚,https://www.1976.com.tw/prod/21802
Paco Rabanne Ultraviolet 紫外線男性淡香水,"3,690","1,750",100ml,紫外線男香的瓶申設計好像到了未來的時空 薄荷清爽的涼感 在一開始爆發出前所味有的舒適 接著香根草的翠綠香氣好像一切事物都變得好新鮮 最後延續著綠意的香調 帶出苔蘚突出的後味,草香清新調 、 木質調 、 辛辣調,琥珀、薄荷,香根草、胡椒、辛辣調,苔蘚、香草,https://www.1976.com.tw/prod/2696
Dunhill Icon Elite 菁英男性淡香精,"3,550","1,699",100ml(黑盒) 效期至2026.08,喜歡木質味道的人你們有福了，這是一款尾味非常非常香的木頭味，聞起來非常的舒服並且成熟的感覺，我本身非常喜歡木頭味的香水找尋了很久，去專櫃也是了很多不同品牌的香水，終於讓我找到一個高CP質而且味道非常棒的香水!,木質調 、 辛辣調,佛手柑、西西里酸橙、青檸、荳蔻,藍色鼠尾草、香根草、黑胡椒、杜松,岩薔薇、黑麂皮、檀香、烏木,https://www.1976.com.tw/prod/14369
Issey Miyake Vetiver 三宅一生一生之水香根草男性淡香水,"2,600","1,560",50ml,"一生之水擅長的魔法，用嗅覺帶給人清新水感，不過更加簡單直白。
清澈的水流動著，可以嗅到生薑辛辣氣息取代了老生常談的柑橘、柚子，與肌膚碰撞後產生強力持久的水花，乾淨清新的香根草在水中蔓延，主導著流動的方向。
像是一生之水與Dior Homme Sport融合後再加上一點點黑澤運動版，溫暖氣候的各種場合都適合。",木質調 、 辛辣調,生薑,快樂鼠尾草精油,香根草精油,https://www.1976.com.tw/prod/20785
Hermes H24 Herbes Vives 愛馬仕綠動淡香精版本,"3,860","2,899",50ml,"Herbes Vives給人的感覺是一種綠色氣息的氛圍。就像仲夏夜晚，暴雨過後的森林一樣沁心。一旦雨過天晴，就會瀰漫著一股赤腳踩在青青草原上，像是植物被蹂躪過，天然、大自然的味道。
雖然是淡香精版本，但我覺得相比原版H24，持香能力比較短，且擴香範圍也較原版H24近。但與原版H24的金屬感，是不一樣的味道。",草香調,,西洋梨冰沙,Physcool,https://www.1976.com.tw/prod/21776
Burberry Touch 接觸男性淡香水 TESTER,"3,850","1,190",100ml 原廠環保紙盒包裝，有瓶蓋,精緻造型美學的結合，是一款動靜皆宜的時尚香氛！簡約設計的BURBERRY TOUCH 接觸男性淡香水在歐美深受男性朋友歡迎!,木質清新調,香橙、紫羅蘭,豆蔻、白胡椒,橡樹、檀木,https://www.1976.com.tw/prod/4883
Dunhill ICON ELITE 菁英男性淡香精 TESTER,"3,550","1,500",100ml 原廠環保紙盒包裝，無瓶蓋,"比想像的還要大罐很多，瓶子真的很厚很重，可是很漂亮！
味道真的不錯，前味酸橙跟青檸的味道很明顯，有種酸酸甜甜的感覺，
之後會慢慢轉成淡淡的木頭味道，重點是味道超級持久。",木質調 、 辛辣調,佛手柑、西西里酸橙、青檸、荳蔻,藍色鼠尾草、香根草、黑胡椒、杜松,岩薔薇、黑麂皮、檀香、烏木,https://www.1976.com.tw/prod/14849
Issey Miyake Vetiver 三宅一生一生之水香根草男性淡香水 TESTER,"3,600","1,650",100ml 原廠環保紙盒包裝，有瓶蓋,香根草強而有力的香調，加上快樂鼠尾草的芳香氣息和生薑的熱度， 提升了香味的層次。,木質調 、 辛辣調,生薑,快樂鼠尾草精油,香根草精油,https://www.1976.com.tw/prod/20786
Montblanc Legend Blue 萬寶龍傳奇紳藍男性淡香精 TESTER,"3,700","1,250",100ml 原廠環保紙盒包裝，有瓶蓋,融入了薄荷、 薰衣草的清新及檀香、雪松的溫潤。圓弧流線的瓶身設計，則是打造成經典萬寶龍名筆的握感。而瓶身表面呈襲獨有的六角白芒星標誌，呈現品牌簡單陽剛的象徵。,木質清新調 、 柑苔調,薰衣草、薄荷,檀香、雪松,龍涎香、苔蘚,https://www.1976.com.tw/prod/21820
【身體系列】Hugo Boss優客男性體香膏,800,650,75ml,歐美地區香水專賣店暢銷入門基本款！,柑苔調,,,,https://www.1976.com.tw/prod/3427
Carolina Herrera CHIC MEN 男性淡香水,"2,600","1,499",60ml,很濃郁持久的男人味！木質與皮革，給予了他陽剛與知性的那一面；果香，給予了他在床笫之間仍保有的溫柔與優雅。識別度很高的香水，很推！,東方清新調 、 柑橘調 、 皮革香調 、 辛辣調,義大利佛手柑、冰檸檬、小荳蔻、西瓜,麂皮、斯里蘭卡肉桂、黑胡椒精油,維吉尼亞雪松、印度檀香、頓加豆、東方琥珀、麝香,https://www.1976.com.tw/prod/2568
Paco Rabanne One Million 百萬男性淡香水,"3,650","2,950",100ml,金塊的造型非常地吸引人，就算買來當裝飾品也很適合，味道覺得就是肉桂和皮革，還有溫柔的花香，會令人感到溫暖，非常有魅力的一瓶香水。,東方花香調 、 皮革香調,新鮮葡萄柚、薄荷、血橙,玫瑰、肉桂、辛香料,皮革、白木、琥珀、廣藿香,https://www.1976.com.tw/prod/5081
Calvin Klein cK Obsession 迷戀男性淡香水,"3,300","1,250",125ml,對我而言，迷戀（Obsession）所散發出來的氣息，和海報所呈現的「性感肉慾」截然不同──香味濃郁但不具侵略性，像一位值得交往的感性暖男。適合秋冬使用，香味可維持一整天，是款CP值（性價比）超高的男香。大力推薦！^^,木質東方調,佛手柑、廣霍香、香根草,茉莉、橙花、檀香、香根草,琥珀、麝香、肉豆蔻,https://www.1976.com.tw/prod/2554
YSL Y 沁藍男性淡香水(2022),"3,100","2,121",60ml,Y帶有香甜的甜味，又因龍涎香基調而是種乾爽潔淨清新的甜，給人活潑的感覺又不會有太強的侵略性，對比曠野的狂野野性，是一種相對溫柔活潑的感覺，也不同於天之驕子夜幕版那類夜香的密甜較黏膩的感覺，是一款對各種場合穿著有高泛用性的香水，正裝、輕便休閒、正式場合、辦公場合、休閒場合都十分適合，雖然討論度沒那麼高但絕對值得收藏。,草香清新調 、 東方清新調 、 辛辣調,佛手柑、薑、醛,鼠尾草、天竺葵、薰衣草,雪松、龍涎香、乳香、香草,https://www.1976.com.tw/prod/20748
